year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1997-1998,105,1,7,ILLINOI,"DAVIS, DANNY K.",0,2,2,0,0,1,IL,14,3,0,1,0,0,9/16/41,55,0.819999993,28513,0.54544425,0.28996554,0.666000009,0.208999991,1,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,100,10,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,11,FLORIDA,"DAVIS, JIM",0,2,2,0,0,1,FL,10,5,0,1,0,1,10/11/57,39,0.519999981,31197,0.52428931,0.787351191,0.745000005,0.193999991,0.987653732,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,88,32,65,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
1997-1998,105,2,11,VIRGINIA,"DAVIS, THOMAS M.",2,1,3,1,0.666666687,3,VA,47,5,1,3,0,1,1/5/49,48,0.479999989,59989,0.510028958,0.807234526,0.904000044,0.442999989,0.983555496,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,63,65,45,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
1997-1998,105,2,9,GEORGIA,"DEAL, NATHAN",3,1,4,1,0.75,1,GA,11,5,1,5,0,1,8/25/42,54,0.349999994,30691,0.515839458,0.946520269,0.609000027,0.113999993,0.221460477,0.346153855,0.447272718,0.252427191,0.627027035,0.631578922,0.689999998,0.079999998,0.02,0.050000001,0.159999996,0,90,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-1998,105,1,4,OREGON,"DEFAZIO, PETER A.",0,0,0,0,0,2,OR,38,9,0,11,0,1,5/27/47,49,0.449999988,29057,0.516684651,0.960073173,0.79400003,0.171000004,0.611224949,0.576271176,0.428571433,0.087719299,0.5,0.660000026,0.460000008,0.140000001,0.050000001,0.059999999,0.289999992,100,5,90,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,1,COLORAD,"DEGETTE, DIANA L.",2,0,2,1,1,1,CO,6,8,0,1,1,1,7/29/57,39,0.610000014,31355,0.519610584,0.729565382,0.789000034,0.268000007,0.999734104,0.584795296,0.3125,0.201183438,0.519999981,0.670000017,0.419999987,0.230000004,0.029999999,0.050000001,0.270000011,100,0,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,10,MASSACH,"DELAHUNT, WILLIAM D.",2,0,2,1,1,2,MA,22,1,0,1,0,1,7/18/41,55,0.560000002,45134,0.532984495,0.946745336,0.866999984,0.263999999,0.726320684,0.588785052,0.406779647,0.170731708,0.671111107,0.765957475,0.239999995,0.439999998,0.01,0.079999998,0.230000004,100,5,90,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,3,CONNECT,"DELAURO, ROSA L.",2,1,3,1,0.666666687,2,CT,7,1,0,7,1,1,3/2/43,53,0.569999993,47357,0.531420171,0.841452062,0.796999991,0.268000007,0.878460646,NA,NA,NA,NA,NA,0.419999987,0.319999993,0.02,0.059999999,0.180000007,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,22,TEXAS,"DELAY, THOMAS D.",1,0,1,1,1,1,TX,44,7,1,13,0,1,4/8/47,49,0.379999995,46628,0.499875814,0.769422352,0.843000054,0.325999975,0.866982102,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,9,CALIFOR,"DELLUMS, RONALD V.",2,1,3,1,0.666666687,1,CA,5,9,0,27,0,0,11/24/35,61,0.75,36561,0.516221344,0.453612983,0.801999986,0.354000002,1,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1997-1998,105,1,20,FLORIDA,"DEUTSCH, PETER",1,1,2,1,0.5,4,FL,10,5,0,5,0,1,4/1/57,39,0.589999974,41369,0.518286288,0.921062052,0.809000015,0.218999997,0.911160171,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,100,6,90,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1997-1998,105,2,21,FLORIDA,"DIAZ-BALART, LINCOLN",0,2,2,0,0,2,FL,10,5,1,5,0,0,8/13/54,42,0.449999988,34528,0.528425515,0.875549078,0.676999986,0.193999991,0.991498947,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,25,100,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1997-1998,105,2,4,ARKANSA,"DICKEY, JAY",2,2,4,1,0.5,1,AR,4,7,1,5,0,1,12/14/39,57,0.600000024,24217,0.531051695,0.724249065,0.638999999,0.113999993,0.477658987,0.32520324,0.416666657,0.408163279,0.682539701,0.578947365,0.730000019,0.07,0.01,0.02,0.170000002,13,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997-1998,105,1,6,WASHING,"DICKS, NORMAN",0,2,2,0,0,1,WA,48,9,0,21,0,1,12/16/40,56,0.5,32939,0.509335399,0.873283386,0.823000014,0.177999988,0.741329491,0.591397822,0.269230783,0.205555558,0.529100537,0.707964599,0.389999986,0.200000003,0.039999999,0.050000001,0.310000002,100,5,85,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
